symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
TSLA,2025-12-15T14:40:00+00:00,2025-12-15T17:00:00+00:00,14,17,opening_range_breakout,time_stop,476.26523,475.34491,0.10000,-0.60155,0.50952,28,1.00000,"{'range_high': 470.45, 'breakout_high': 470.45}"
TSLA,2025-12-22T14:40:00+00:00,2025-12-22T14:55:00+00:00,14,14,opening_range_breakout,trailing_stop,493.98878,493.69124,0.10000,-0.53963,0.50988,3,1.00000,"{'range_high': 487.76, 'breakout_high': 487.76}"
TSLA,2026-01-05T14:40:00+00:00,2026-01-05T20:50:00+00:00,14,20,opening_range_breakout,trailing_stop,452.53049,452.81932,0.10000,-0.48017,0.50905,74,1.00000,"{'range_high': 445.33, 'breakout_high': 445.33}"
TSLA,2026-01-07T14:40:00+00:00,2026-01-07T14:45:00+00:00,14,14,opening_range_breakout,signal_exit,437.45247,435.31062,0.10000,-0.72291,0.50873,1,1.00000,"{'range_high': 435.55, 'breakout_high': 435.55}"
TSLA,2026-01-15T14:40:00+00:00,2026-01-15T15:00:00+00:00,14,15,opening_range_breakout,structure_exit,442.76854,440.81062,0.10000,-0.70463,0.50884,4,0.80318,"{'range_high': 441.77, 'breakout_high': 441.77}"
TSLA,2026-01-16T14:40:00+00:00,2026-01-16T14:55:00+00:00,14,14,opening_range_breakout,stop_loss,445.97248,443.16135,0.10000,-0.79000,0.50889,3,1.00000,"{'range_high': 440.55, 'breakout_high': 440.55}"
TSLA,2026-01-21T14:15:00+00:00,2026-01-21T14:25:00+00:00,14,14,opening_range_breakout,stop_loss,423.53469,421.58567,0.10000,-0.70335,0.50845,2,1.00000,"{'range_high': 421.15, 'breakout_high': 421.15}"
TSLA,2026-01-28T14:40:00+00:00,2026-01-28T15:30:00+00:00,14,15,opening_range_breakout,structure_exit,437.31245,433.96319,0.10000,-0.84364,0.50871,10,1.00000,"{'range_high': 434.73, 'breakout_high': 434.73}"
TSLA,2026-02-10T14:40:00+00:00,2026-02-10T16:05:00+00:00,14,16,opening_range_breakout,trailing_stop,422.87456,422.00808,0.10000,-0.59510,0.50845,17,1.00000,"{'range_high': 419.88, 'breakout_high': 419.88}"
TSLA,2026-02-11T14:40:00+00:00,2026-02-11T14:55:00+00:00,14,14,opening_range_breakout,stop_loss,434.81195,431.23374,0.10000,-0.86648,0.50866,3,1.00000,"{'range_high': 428.2, 'breakout_high': 428.2}"
TSLA,2026-02-12T14:40:00+00:00,2026-02-12T14:45:00+00:00,14,14,opening_range_breakout,stop_loss,434.11681,430.13346,0.10000,-0.90698,0.50864,1,1.00000,"{'range_high': 431.5, 'breakout_high': 431.5}"
TSLA,2026-02-13T14:00:00+00:00,2026-02-13T14:05:00+00:00,14,14,opening_range_breakout,signal_exit,418.28364,416.57667,0.10000,-0.67905,0.50835,1,0.65554,"{'range_high': 417.62, 'breakout_high': 417.62}"
TSLA,2026-02-24T14:40:00+00:00,2026-02-24T15:25:00+00:00,14,15,opening_range_breakout,take_profit,402.60050,407.36351,0.10000,-0.03180,0.50810,9,1.00000,"{'range_high': 399.2, 'breakout_high': 399.2}"
TSLA,2026-02-25T14:40:00+00:00,2026-02-25T15:05:00+00:00,14,15,opening_range_breakout,stop_loss,417.01929,413.95609,0.10000,-0.81463,0.50831,5,1.00000,"{'range_high': 411.1, 'breakout_high': 411.1}"
TSLA,2026-03-11T14:00:00+00:00,2026-03-11T14:05:00+00:00,14,14,opening_range_breakout,signal_exit,414.84295,412.22254,0.10000,-0.77031,0.50827,1,1.00000,"{'range_high': 412.47, 'breakout_high': 412.47}"
TSLA,2026-03-17T14:40:00+00:00,2026-03-17T15:30:00+00:00,14,15,opening_range_breakout,structure_exit,399.59990,396.84562,0.10000,-0.78339,0.50796,10,1.00000,"{'range_high': 398.0, 'breakout_high': 398.0}"
